"Date","W Goal","Pd","Time","Total","Average","Vis:","Dec","Scr","Home:","Dec","Scr","W Goalie","L Goalie"
"Feb 03 '14","James Neal","OT","01:55",01:46:59,00:02:33,"OTT","O",1,"PIT","W",2,"Marc-Andre Fleury","Craig Anderson"
"Feb 02 '14","Alex Ovechkin","OT","02:37",01:49:36,00:02:33,"DET","O",5,"WSH","W",6,"Michal Neuvirth","Jimmy Howard"
"Feb 01 '14","Mikael Backlund","OT","02:25",01:52:01,00:02:33,"MIN","O",3,"CGY","W",4,"Reto Berra","Darcy Kuemper"
"Feb 01 '14","Nate Thompson","OT","04:36",01:56:37,00:02:35,"TBL","W",2,"MTL","O",1,"Ben Bishop","Carey Price"
"Jan 31 '14","Shea Weber","OT","01:29",01:58:06,00:02:34,"NJD","O",2,"NSH","W",3,"Carter Hutton","Cory Schneider"
"Jan 30 '14","Patrik Elias","OT","00:40",01:58:46,00:02:32,"NJD","W",3,"DAL","O",2,"Cory Schneider","Kari Lehtonen"
"Jan 28 '14","TJ Brodie","OT","02:26",02:01:12,00:02:32,"CHI","O",4,"CGY","W",5,"Karri Ramo","Corey Crawford"
"Jan 28 '14","Mike Green","OT","01:00",02:02:12,00:02:30,"WSH","W",5,"BUF","O",4,"Braden Holtby","Jhonas Enroth"
"Jan 26 '14","Kevin Bieksa","OT","02:15",02:04:27,00:02:29,"PHX","O",4,"VAN","W",5,"Roberto Luongo","Mike Smith"
"Jan 25 '14","Joe Thornton","OT","03:30",02:07:57,00:02:31,"MIN","O",2,"SJS","W",3,"Antti Niemi","Darcy Kuemper"
"Jan 25 '14","Dustin Byfuglien","OT","02:44",02:10:41,00:02:31,"TOR","O",4,"WPG","W",5,"Ondrej Pavelec","Jonathan Bernier"
"Jan 18 '14","Nate Prosser","OT","02:42",02:13:23,00:02:31,"DAL","O",2,"MIN","W",3,"Darcy Kuemper","Kari Lehtonen"
"Jan 18 '14","Jacob Trouba","OT","01:10",02:14:33,00:02:30,"EDM","O",2,"WPG","W",3,"Ondrej Pavelec","Ilya Bryzgalov"
"Jan 16 '14","P.K. Subban","OT","00:23",02:14:56,00:02:27,"MTL","W",5,"OTT","O",4,"Carey Price","Craig Anderson"
"Jan 14 '14","Tyson Barrie","OT","04:09",02:19:05,00:02:29,"COL","W",3,"CHI","O",2,"Semyon Varlamov","Corey Crawford"
"Jan 11 '14","Marek Zidlicky","OT","04:57",02:24:02,00:02:32,"FLA","O",1,"NJD","W",2,"Cory Schneider","Tim Thomas"
"Jan 11 '14","Andrei Markov","OT","01:28",02:25:30,00:02:31,"CHI","O",1,"MTL","W",2,"Carey Price","Corey Crawford"
"Jan 10 '14","Ryan Nugent-Hopkins","OT","01:01",02:26:31,00:02:29,"PIT","O",3,"EDM","W",4,"Devan Dubnyk","Jeff Zatkoff"
"Jan 10 '14","Michael Grabner","OT","01:46",02:28:17,00:02:28,"NYI","W",2,"COL","O",1,"Kevin Poulin","Semyon Varlamov"
"Jan 08 '14","Tyson Barrie","OT","00:33",02:28:50,00:02:26,"OTT","O",3,"COL","W",4,"Semyon Varlamov","Craig Anderson"
"Jan 07 '14","Brayden Schenn","OT","01:50",02:30:40,00:02:26,"PHI","W",3,"NJD","O",2,"Ray Emery","Martin Brodeur"
"Jan 05 '14","Corey Perry","OT","04:58",02:35:38,00:02:28,"VAN","O",3,"ANA","W",4,"Jonas Hiller","Eddie Lack"
"Jan 04 '14","Clarke MacArthur","OT","00:58",02:36:36,00:02:27,"OTT","W",4,"MTL","O",3,"Craig Anderson","Carey Price"
"Jan 02 '14","Jeff Skinner","OT","01:20",02:37:56,00:02:26,"CAR","W",4,"WSH","O",3,"Anton Khudobin","Philipp Grubauer"
"Jan 02 '14","Kyle Okposo","OT","00:58",02:38:54,00:02:24,"CHI","O",2,"NYI","W",3,"Evgeni Nabokov","Corey Crawford"
"Jan 02 '14","Brad Marchand","OT","00:54",02:39:48,00:02:23,"NSH","O",2,"BOS","W",3,"Niklas Svedberg","Marek Mazanec"
"Dec 31 '13","Keith Yandle","OT","04:53",02:44:41,00:02:25,"EDM","O",3,"PHX","W",4,"Thomas Greiss","Ilya Bryzgalov"
"Dec 31 '13","Alexander Semin","OT","03:27",02:48:08,00:02:26,"MTL","O",4,"CAR","W",5,"Cam Ward","Carey Price"
"Dec 29 '13","Blake Wheeler","OT","04:58",02:53:06,00:02:28,"WPG","W",2,"COL","O",1,"Al Montoya","Semyon Varlamov"
"Dec 29 '13","Kevin Shattenkirk","OT","04:49",02:57:55,00:02:30,"STL","W",3,"DAL","O",2,"Brian Elliott","Kari Lehtonen"
"Dec 28 '13","Saku Koivu","OT","00:51",02:58:46,00:02:29,"PHX","O",2,"ANA","W",3,"Jonas Hiller","Thomas Greiss"
"Dec 27 '13","James Neal","OT","01:03",02:59:49,00:02:28,"PIT","W",4,"CAR","O",3,"Marc-Andre Fleury","Justin Peters"
"Dec 23 '13","Mark Pysyk","OT","03:47",03:03:36,00:02:29,"PHX","O",1,"BUF","W",2,"Ryan Miller","Mike Smith"
"Dec 21 '13","Andy Greene","OT","00:43",03:04:19,00:02:27,"NJD","W",5,"WSH","O",4,"Martin Brodeur","Braden Holtby"
"Dec 21 '13","Radko Gudas","OT","02:16",03:06:35,00:02:27,"CAR","O",2,"TBL","W",3,"Ben Bishop","Justin Peters"
"Dec 21 '13","David Desharnais","OT","01:43",03:08:18,00:02:27,"MTL","W",4,"NSH","O",3,"Carey Price","Carter Hutton"
"Dec 21 '13","Antoine Vermette","OT","02:23",03:10:41,00:02:27,"PHX","W",4,"OTT","O",3,"Mike Smith","Craig Anderson"
"Dec 20 '13","Kyle Palmieri","OT","02:37",03:13:18,00:02:27,"ANA","W",3,"NJD","O",2,"Jonas Hiller","Cory Schneider"
"Dec 19 '13","Daniel Alfredsson","OT","01:03",03:14:21,00:02:26,"CGY","O",2,"DET","W",3,"Jonas Gustavsson","Karri Ramo"
"Dec 16 '13","Cody Ceci","OT","03:59",03:18:20,00:02:27,"STL","O",2,"OTT","W",3,"Robin Lehner","Brian Elliott"
"Dec 14 '13","David Backes","OT","00:22",03:18:42,00:02:25,"STL","W",4,"CBJ","O",3,"Jaroslav Halak","Mike McKenna"
"Dec 14 '13","Max Pacioretty","OT","01:51",03:20:33,00:02:25,"MTL","W",1,"NYI","O",0,"Carey Price","Evgeni Nabokov"
"Dec 14 '13","Matt Stajan","OT","00:42",03:21:15,00:02:24,"CGY","W",2,"BUF","O",1,"Karri Ramo","Jhonas Enroth"
"Dec 12 '13","Chris Butler","OT","04:56",03:26:11,00:02:26,"CAR","O",1,"CGY","W",2,"Karri Ramo","Justin Peters"
"Dec 10 '13","Jordan Eberle","OT","01:48",03:27:59,00:02:25,"CAR","O",4,"EDM","W",5,"Devan Dubnyk","Cam Ward"
"Dec 07 '13","Jiri Hudler","OT","03:14",03:31:13,00:02:26,"CGY","W",2,"EDM","O",1,"Reto Berra","Devan Dubnyk"
"Dec 07 '13","Eric Gelinas","OT","01:15",03:32:28,00:02:25,"NJD","W",4,"NYR","O",3,"Martin Brodeur","Henrik Lundqvist"
"Dec 07 '13","Mark Scheifele","OT","01:04",03:33:32,00:02:24,"WPG","W",2,"TBL","O",1,"Al Montoya","Anders Lindback"
"Dec 06 '13","Chris Higgins","OT","03:41",03:37:13,00:02:25,"PHX","O",2,"VAN","W",3,"Roberto Luongo","Mike Smith"
"Dec 05 '13","Trevor Smith","OT","04:18",03:41:31,00:02:26,"DAL","O",2,"TOR","W",3,"Jonathan Bernier","Kari Lehtonen"
"Dec 03 '13","Sidney Crosby","OT","03:44",03:45:15,00:02:27,"PIT","W",3,"NYI","O",2,"Marc-Andre Fleury","Anders Nilsson"
"Nov 30 '13","Alex Ovechkin","OT","02:07",03:47:22,00:02:27,"WSH","W",3,"NYI","O",2,"Braden Holtby","Anders Nilsson"
"Nov 30 '13","Steve Bernier","OT","04:19",03:51:41,00:02:28,"BUF","O",0,"NJD","W",1,"Cory Schneider","Jhonas Enroth"
"Nov 29 '13","Christian Ehrhoff","OT","00:38",03:52:19,00:02:27,"TOR","O",2,"BUF","W",3,"Ryan Miller","James Reimer"
"Nov 25 '13","Anze Kopitar","OT","00:48",03:53:07,00:02:26,"LAK","W",3,"VAN","O",2,"Ben Scrivens","Roberto Luongo"
"Nov 25 '13","Torey Krug","OT","00:34",03:53:41,00:02:25,"PIT","O",3,"BOS","W",4,"Tuukka Rask","Marc-Andre Fleury"
